iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 29, 2018",,,,,,,,,,
Total Net Assets,"44,298,341,708.25",,,,,,,,,,
Shares Outstanding,"236,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
TECH,BIO TECHNE CORP,Equity,0.33,151.04,"968,084.00","146,219,407.36","146,219,407.36",Health Care,BSHZ3Q0,US09073M1045,NASDAQ
ACM,AECOM,Equity,0.33,35.63,"4,099,150.00","146,052,714.50","146,052,714.50",Industrials,B1VZ431,US00766T1007,New York Stock Exchange Inc.
THO,THOR INDUSTRIES INC,Equity,0.33,115.17,"1,266,007.00","145,806,026.19","145,806,026.19",Consumer Discretionary,2889876,US8851601018,New York Stock Exchange Inc.
CBSH,COMMERCE BANCSHARES INC,Equity,0.33,59.91,"2,426,018.00","145,342,738.38","145,342,738.38",Financials,2213204,US2005251036,NASDAQ
RGLD,ROYAL GOLD INC,Equity,0.33,85.87,"1,690,925.00","145,199,729.75","145,199,729.75",Materials,2755706,US7802871084,NASDAQ
EHC,ENCOMPASS HEALTH CORP,Equity,0.32,57.17,"2,535,286.00","144,942,300.62","144,942,300.62",Health Care,BYX2YJ7,US29261A1007,New York Stock Exchange Inc.
ATR,APTARGROUP INC,Equity,0.32,89.83,"1,604,593.00","144,140,589.19","144,140,589.19",Materials,2045247,US0383361039,New York Stock Exchange Inc.
LECO,LINCOLN ELECTRIC HOLDINGS INC,Equity,0.32,89.95,"1,594,124.00","143,391,453.80","143,391,453.80",Industrials,2516851,US5339001068,NASDAQ
RNR,RENAISSANCERE HOLDING LTD,Equity,0.32,138.51,"1,033,968.00","143,214,907.68","143,214,907.68",Financials,2728429,BMG7496G1033,New York Stock Exchange Inc.
MDU,MDU RESOURCES GROUP INC,Equity,0.32,28.16,"5,045,435.00","142,079,449.60","142,079,449.60",Utilities,2547323,US5526901096,New York Stock Exchange Inc.
CTLT,CATALENT INC,Equity,0.32,41.06,"3,432,172.00","140,924,982.32","140,924,982.32",Health Care,BP96PQ4,US1488061029,New York Stock Exchange Inc.
NATI,NATIONAL INSTRUMENTS CORP,Equity,0.31,50.57,"2,769,752.00","140,066,358.64","140,066,358.64",Information Technology,2645078,US6365181022,NASDAQ
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Equity,0.31,27.04,"5,112,539.00","138,243,054.56","138,243,054.56",Real Estate,2043274,US6819361006,New York Stock Exchange Inc.
LAMR,LAMAR ADVERTISING COMPANY CLAS,Equity,0.31,63.66,"2,165,869.00","137,879,220.54","137,879,220.54",Real Estate,BSPHGN6,US5128161099,NASDAQ
VVC,VECTREN CORP,Equity,0.31,63.92,"2,145,221.00","137,122,526.32","137,122,526.32",Utilities,2572949,US92240G1013,New York Stock Exchange Inc.
DCT,DCT INDUSTRIAL TRUST REIT INC TRUS,Equity,0.31,56.34,"2,422,639.00","136,491,481.26","136,491,481.26",Real Estate,BRWPYN2,US2331532042,New York Stock Exchange Inc.
ACC,AMERICAN CAMPUS COMMUNITIES REIT I,Equity,0.3,38.62,"3,526,173.00","136,180,801.26","136,180,801.26",Real Estate,B02H871,US0248351001,New York Stock Exchange Inc.
SKX,SKECHERS USA INC CLASS A,Equity,0.3,38.89,"3,501,129.00","136,158,906.81","136,158,906.81",Consumer Discretionary,2428042,US8305661055,New York Stock Exchange Inc.
ORI,OLD REPUBLIC INTERNATIONAL CORP,Equity,0.3,21.45,"6,323,910.00","135,647,869.50","135,647,869.50",Financials,2659109,US6802231042,New York Stock Exchange Inc.
MD,MEDNAX INC,Equity,0.3,55.63,"2,423,123.00","134,798,332.49","134,798,332.49",Health Care,2677640,US58502B1061,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.3,59.39,"2,261,936.00","134,336,379.04","134,336,379.04",Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
LFUS,LITTELFUSE INC,Equity,0.3,208.18,"641,470.00","133,541,224.60","133,541,224.60",Information Technology,2531832,US5370081045,NASDAQ
