As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Aug 17, 2017","2,494.31",169.27,--,"226,300,000.00"
"Aug 16, 2017","2,537.65",172.2,--,"226,200,000.00"
"Aug 15, 2017","2,531.34",171.77,--,"226,100,000.00"
"Aug 14, 2017","2,544.68",172.68,--,"226,100,000.00"
"Aug 11, 2017","2,515.37",170.69,--,"226,200,000.00"
"Aug 10, 2017","2,510.36",170.35,--,"226,200,000.00"
"Aug 09, 2017","2,551.28",173.13,--,"226,200,000.00"
"Aug 08, 2017","2,568.89",174.32,--,"226,150,000.00"
"Aug 07, 2017","2,575.97",174.81,--,"226,150,000.00"
"Aug 04, 2017","2,573.79",174.66,--,"225,800,000.00"
"Aug 03, 2017","2,567.37",174.22,--,"225,800,000.00"
"Aug 02, 2017","2,574.95",174.74,--,"225,700,000.00"
"Aug 01, 2017","2,592.64",175.94,--,"225,700,000.00"
"Jul 31, 2017","2,586.85",175.55,--,"225,700,000.00"
"Jul 28, 2017","2,589.28",175.72,--,"225,600,000.00"
"Jul 27, 2017","2,601.78",176.58,--,"225,600,000.00"
"Jul 26, 2017","2,609.83",177.12,--,"226,200,000.00"
"Jul 25, 2017","2,632.21",178.64,--,"231,050,000.00"
"Jul 24, 2017","2,609.99",177.13,--,"225,650,000.00"
"Jul 21, 2017","2,605.71",176.84,--,"225,500,000.00"
"Jul 20, 2017","2,612.60",177.32,--,"225,400,000.00"
"Jul 19, 2017","2,615.03",177.48,--,"225,350,000.00"
"Jul 18, 2017","2,589.33",175.74,--,"225,350,000.00"
"Jul 17, 2017","2,596.82",176.25,--,"225,300,000.00"
"Jul 14, 2017","2,592.65",175.96,--,"225,500,000.00"
"Jul 13, 2017","2,583.89",175.37,--,"225,450,000.00"
"Jul 12, 2017","2,580.62",175.15,--,"225,450,000.00"
"Jul 11, 2017","2,562.65",173.93,--,"226,350,000.00"
"Jul 10, 2017","2,559.31",173.7,--,"225,850,000.00"
"Jul 07, 2017","2,565.57",174.12,--,"226,050,000.00"
"Jul 06, 2017","2,565.57",172.47,--,"226,150,000.00"
"Jul 05, 2017","2,541.19",174.57,--,"226,300,000.00"
"Jul 03, 2017","2,581.06",175.18,--,"226,900,000.00"
"Jun 30, 2017","2,564.25",174.04,--,"230,050,000.00"
"Jun 29, 2017","2,560.38",173.78,--,"231,250,000.00"
"Jun 28, 2017","2,577.32",174.93,--,"231,650,000.00"
"Jun 27, 2017","2,548.15",172.95,0.6,"232,050,000.00"
"Jun 26, 2017","2,568.89",174.96,--,"231,900,000.00"
"Jun 23, 2017","2,558.90",174.28,--,"231,850,000.00"
"Jun 22, 2017","2,547.86",173.53,--,"231,850,000.00"
"Jun 21, 2017","2,545.64",173.38,--,"231,850,000.00"
"Jun 20, 2017","2,560.98",174.42,--,"232,500,000.00"
"Jun 19, 2017","2,588.54",176.3,--,"232,500,000.00"
"Jun 16, 2017","2,572.72",175.22,--,"235,850,000.00"
"Jun 15, 2017","2,572.41",175.21,--,"231,650,000.00"
"Jun 14, 2017","2,584.66",176.04,--,"231,600,000.00"
"Jun 13, 2017","2,595.77",176.81,--,"231,500,000.00"
"Jun 12, 2017","2,579.45",175.69,--,"231,350,000.00"
"Jun 09, 2017","2,577.27",175.55,--,"231,050,000.00"
"Jun 08, 2017","2,567.29",174.87,--,"231,050,000.00"
"Jun 07, 2017","2,546.74",173.47,--,"231,050,000.00"
"Jun 06, 2017","2,546.57",173.46,--,"231,200,000.00"
"Jun 05, 2017","2,555.96",174.09,--,"231,200,000.00"
"Jun 02, 2017","2,566.71",174.82,--,"231,150,000.00"
"Jun 01, 2017","2,561.91",174.5,--,"230,350,000.00"
"May 31, 2017","2,523.39",171.87,--,"230,350,000.00"
"May 30, 2017","2,522.46",171.81,--,"230,300,000.00"
"May 26, 2017","2,530.99",172.4,--,"230,300,000.00"
"May 25, 2017","2,536.59",172.78,--,"230,200,000.00"
"May 24, 2017","2,532.04",172.47,--,"230,200,000.00"
"May 23, 2017","2,525.07",172,--,"230,100,000.00"
"May 22, 2017","2,520.39",171.68,--,"229,550,000.00"
"May 19, 2017","2,507.78",170.82,--,"229,550,000.00"
"May 18, 2017","2,482.71",169.11,--,"229,550,000.00"
"May 17, 2017","2,480.47",168.96,--,"230,050,000.00"
"May 16, 2017","2,532.79",172.53,--,"230,050,000.00"
"May 15, 2017","2,535.07",172.68,--,"230,400,000.00"
"May 12, 2017","2,517.58",171.49,--,"230,500,000.00"
"May 11, 2017","2,529.36",172.29,--,"230,650,000.00"
"May 10, 2017","2,545.09",173.37,--,"230,900,000.00"
"May 09, 2017","2,529.21",172.28,--,"231,450,000.00"
"May 08, 2017","2,535.21",172.68,--,"231,450,000.00"
"May 05, 2017","2,544.64",173.33,--,"231,450,000.00"
"May 04, 2017","2,523.52",171.87,--,"231,050,000.00"
"May 03, 2017","2,528.02",172.18,--,"231,050,000.00"
"May 02, 2017","2,538.62",172.91,--,"231,000,000.00"
"May 01, 2017","2,542.50",173.17,--,"230,050,000.00"
"Apr 28, 2017","2,535.72",172.71,--,"230,050,000.00"
"Apr 27, 2017","2,560.09",174.37,--,"229,950,000.00"
"Apr 26, 2017","2,558.27",174.24,--,"230,000,000.00"
"Apr 25, 2017","2,557.10",174.16,--,"229,400,000.00"
"Apr 24, 2017","2,541.76",173.13,--,"229,000,000.00"
"Apr 21, 2017","2,512.91",171.16,--,"229,000,000.00"
"Apr 20, 2017","2,517.76",171.49,--,"228,900,000.00"
